Identifier,Description,Source,Publisher,Year,Topic
WB_sl_slf_0714_fe_zs,"Children in employment, self-employed, female (% of female children in employme",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_slf_0714_ma_zs,"Children in employment, self-employed, male (% of male children in employment,",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_slf_0714_zs,"Children in employment, self-employed (% of children in employment, ages 7-14)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_srv_0714_fe_zs,"Child employment in services, female (% of female economically active children",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_srv_0714_ma_zs,"Child employment in services, male (% of male economically active children ages",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_srv_0714_zs,Child employment in services (% of economically active children ages 7-14),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_srv_empl_fe_zs,"Employment in services, female (% of female employment) (modeled ILO estimate)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_srv_empl_ma_zs,"Employment in services, male (% of male employment) (modeled ILO estimate)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_srv_empl_zs,Employment in services (% of total employment) (modeled ILO estimate),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_fe_zs,"Children in employment, female (% of female children ages 7-14)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_ma_zs,"Children in employment, male (% of male children ages 7-14)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_sw_fe_tm,"Average working hours of children, study and work, female, ages 7-14 (hours",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_sw_fe_zs,"Children in employment, study and work, female (% of female children in empl",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_sw_ma_tm,"Average working hours of children, study and work, male, ages 7-14 (hours pe",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_sw_ma_zs,"Children in employment, study and work, male (% of male children in employme",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_sw_tm,"Average working hours of children, study and work, ages 7-14 (hours per week)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_sw_zs,"Children in employment, study and work (% of children in employment, ages 7-14)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_wk_fe_tm,"Average working hours of children, working only, female, ages 7-14 (hours pe",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_wk_fe_zs,"Children in employment, work only, female (% of female children in employmen",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_wk_ma_tm,"Average working hours of children, working only, male, ages 7-14 (hours per",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_wk_ma_zs,"Children in employment, work only, male (% of male children in employment, a",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_wk_tm,"Average working hours of children, working only, ages 7-14 (hours per week)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_wk_zs,"Children in employment, work only (% of children in employment, ages 7-14)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_0714_zs,"Children in employment, total (% of children ages 7-14)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_acti_1524_fe_ne_zs,"Labor force participation rate for ages 15-24, female (%) (national est",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_acti_1524_fe_zs,"Labor force participation rate for ages 15-24, female (%) (modeled ILO est",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_acti_1524_ma_ne_zs,"Labor force participation rate for ages 15-24, male (%) (national estim",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_acti_1524_ma_zs,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estim",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_acti_1524_ne_zs,"Labor force participation rate for ages 15-24, total (%) (national estimat",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_acti_1524_zs,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimat",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_acti_fe_zs,"Labor force participation rate, female (% of female population ages 15-64) (mod",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_acti_ma_zs,"Labor force participation rate, male (% of male population ages 15-64) (modeled",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_acti_zs,"Labor force participation rate, total (% of total population ages 15-64) (modele",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_advn_fe_zs,"Labor force with advanced education, female (% of female working-age population",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_advn_ma_zs,"Labor force with advanced education, male (% of male working-age population wit",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_advn_zs,Labor force with advanced education (% of total working-age population with adva,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_basc_fe_zs,"Labor force with basic education, female (% of female working-age population wi",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_basc_ma_zs,"Labor force with basic education, male (% of male working-age population with b",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_basc_zs,Labor force with basic education (% of total working-age population with basic e,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_cact_fe_ne_zs,"Labor force participation rate, female (% of female population ages 15+) (na",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_cact_fe_zs,"Labor force participation rate, female (% of female population ages 15+) (model",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_cact_fm_ne_zs,Ratio of female to male labor force participation rate (%) (national estimat,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_cact_fm_zs,Ratio of female to male labor force participation rate (%) (modeled ILO estimat,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_cact_ma_ne_zs,"Labor force participation rate, male (% of male population ages 15+) (nation",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_cact_ma_zs,"Labor force participation rate, male (% of male population ages 15+) (modeled I",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_cact_ne_zs,"Labor force participation rate, total (% of total population ages 15+) (nationa",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_cact_zs,"Labor force participation rate, total (% of total population ages 15+) (modeled",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_intm_fe_zs,"Labor force with intermediate education, female (% of female working-age popula",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_intm_ma_zs,"Labor force with intermediate education, male (% of male working-age population",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_intm_zs,Labor force with intermediate education (% of total working-age population with,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_part_fe_zs,"Part time employment, female (% of total female employment)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_part_ma_zs,"Part time employment, male (% of total male employment)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_tlf_part_zs,"Part time employment, total (% of total employment)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_1524_fe_ne_zs,"Unemployment, youth female (% of female labor force ages 15-24) (national es",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_1524_fe_zs,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO es",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_1524_ma_ne_zs,"Unemployment, youth male (% of male labor force ages 15-24) (national estima",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_1524_ma_zs,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estima",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_1524_ne_zs,"Unemployment, youth total (% of total labor force ages 15-24) (national estimat",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_1524_zs,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estim",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_advn_fe_zs,"Unemployment with advanced education, female (% of female labor force with adva",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_advn_ma_zs,"Unemployment with advanced education, male (% of male labor force with advanced",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_advn_zs,Unemployment with advanced education (% of total labor force with advanced educa,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_basc_fe_zs,"Unemployment with basic education, female (% of female labor force with basic e",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_basc_ma_zs,"Unemployment with basic education, male (% of male labor force with basic educa",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_basc_zs,Unemployment with basic education (% of total labor force with basic education),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_intm_fe_zs,"Unemployment with intermediate education, female (% of female labor force with",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_intm_ma_zs,"Unemployment with intermediate education, male (% of male labor force with inte",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_intm_zs,Unemployment with intermediate education (% of total labor force with intermedia,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_neet_fe_zs,"Share of youth not in education, employment or training, female (% of female yo",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_neet_ma_zs,"Share of youth not in education, employment or training, male (% of male youth",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_neet_zs,"Share of youth not in education, employment or training, total (% of youth popul",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_totl_fe_ne_zs,"Unemployment, female (% of female labor force) (national estimate)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_totl_ma_ne_zs,"Unemployment, male (% of male labor force) (national estimate)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_uem_totl_ne_zs,"Unemployment, total (% of total labor force) (national estimate)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_wag_0714_fe_zs,"Children in employment, wage workers, female (% of female children in employmen",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_wag_0714_ma_zs,"Children in employment, wage workers, male (% of male children in employment, a",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_sl_wag_0714_zs,"Children in employment, wage workers (% of children in employment, ages 7-14)",World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_allsp_adq_pop_tot,Adequacy of social protection and labor programs (% of total welfare of ben,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_allsp_ben_q1_tot,Benefit incidence of social protection and labor programs to poorest quintil,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_allsp_cov_pop_tot,Coverage of social protection and labor programs (% of population),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_lm_alllm_adq_pop_tot,Adequacy of unemployment benefits and ALMP (% of total welfare of benefi,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_lm_alllm_ben_q1_tot,Benefit incidence of unemployment benefits and ALMP to poorest quintile (,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_lm_alllm_cov_pop_tot,Coverage of unemployment benefits and ALMP (% of population),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_lm_alllm_cov_q1_tot,Coverage of unemployment benefits and ALMP in poorest quintile (% of popu,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_lm_alllm_cov_q2_tot,Coverage of unemployment benefits and ALMP in 2nd quintile (% of populati,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_lm_alllm_cov_q3_tot,Coverage of unemployment benefits and ALMP in 3rd quintile (% of populati,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_lm_alllm_cov_q4_tot,Coverage of unemployment benefits and ALMP in 4th quintile (% of populati,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_lm_alllm_cov_q5_tot,Coverage of unemployment benefits and ALMP in richest quintile (% of popu,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_sa_allsa_adq_pop_tot,Adequacy of social safety net programs (% of total welfare of beneficiar,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_sa_allsa_ben_q1_tot,Benefit incidence of social safety net programs to poorest quintile (% of,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_sa_allsa_cov_pop_tot,Coverage of social safety net programs (% of population),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_sa_allsa_cov_q1_tot,Coverage of social safety net programs in poorest quintile (% of populati,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_sa_allsa_cov_q2_tot,Coverage of social safety net programs in 2nd quintile (% of population),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_sa_allsa_cov_q3_tot,Coverage of social safety net programs in 3rd quintile (% of population),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_sa_allsa_cov_q4_tot,Coverage of social safety net programs in 4th quintile (% of population),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_sa_allsa_cov_q5_tot,Coverage of social safety net programs in richest quintile (% of populati,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_si_allsi_adq_pop_tot,Adequacy of social insurance programs (% of total welfare of beneficiary,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_si_allsi_ben_q1_tot,Benefit incidence of social insurance programs to poorest quintile (% of,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_si_allsi_cov_pop_tot,Coverage of social insurance programs (% of population),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_si_allsi_cov_q1_tot,Coverage of social insurance programs in poorest quintile (% of populatio,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_si_allsi_cov_q2_tot,Coverage of social insurance programs in 2nd quintile (% of population),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_si_allsi_cov_q3_tot,Coverage of social insurance programs in 3rd quintile (% of population),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_si_allsi_cov_q4_tot,Coverage of social insurance programs in 4th quintile (% of population),World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_per_si_allsi_cov_q5_tot,Coverage of social insurance programs in richest quintile (% of populatio,World Development Indicators,The World Bank Group,2018,Social Protection and Labor
WB_si_dst_02nd_20,Income share held by second 20%,World Development Indicators,The World Bank Group,2018,Poverty
WB_si_dst_03rd_20,Income share held by third 20%,World Development Indicators,The World Bank Group,2018,Poverty
WB_si_dst_04th_20,Income share held by fourth 20%,World Development Indicators,The World Bank Group,2018,Poverty
WB_si_dst_05th_20,Income share held by highest 20%,World Development Indicators,The World Bank Group,2018,Poverty
WB_si_dst_10th_10,Income share held by highest 10%,World Development Indicators,The World Bank Group,2018,Poverty
WB_si_dst_frst_10,Income share held by lowest 10%,World Development Indicators,The World Bank Group,2018,Poverty
WB_si_pov_gaps,Poverty gap at $1.90 a day (2011 PPP) (%),World Development Indicators,The World Bank Group,2018,Poverty
WB_si_pov_gini,GINI index (World Bank estimate),World Development Indicators,The World Bank Group,2018,Poverty
WB_si_pov_lmic,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),World Development Indicators,The World Bank Group,2018,Poverty
WB_si_pov_lmic_gp,Poverty gap at $3.20 a day (2011 PPP) (%),World Development Indicators,The World Bank Group,2018,Poverty
WB_si_pov_nagp,Poverty gap at national poverty lines (%),World Development Indicators,The World Bank Group,2018,Poverty
WB_si_pov_nahc,Poverty headcount ratio at national poverty lines (% of population),World Development Indicators,The World Bank Group,2018,Poverty
WB_si_pov_umic,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),World Development Indicators,The World Bank Group,2018,Poverty
WB_si_pov_umic_gp,Poverty gap at $5.50 a day (2011 PPP) (%),World Development Indicators,The World Bank Group,2018,Poverty
WB_si_pov_urgp,Urban poverty gap at national poverty lines (%),World Development Indicators,The World Bank Group,2018,Poverty
WB_si_pov_urhc,Urban poverty headcount ratio at national poverty lines (% of urban population),World Development Indicators,The World Bank Group,2018,Poverty
WB_si_spr_pc40,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP",World Development Indicators,The World Bank Group,2018,Poverty
WB_si_spr_pc40_zg,Annualized average growth rate in per capita real survey mean consumption or inc,World Development Indicators,The World Bank Group,2018,Poverty
WB_si_spr_pcap,"Survey mean consumption or income per capita, total population (2011 PPP $ per d",World Development Indicators,The World Bank Group,2018,Poverty
WB_si_spr_pcap_zg,Annualized average growth rate in per capita real survey mean consumption or inc,World Development Indicators,The World Bank Group,2018,Poverty
WB_ic_bus_dfrn_xq,Distance to frontier score (0=lowest performance to 100=frontier),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_bus_disc_xq,Business extent of disclosure index (0=less disclosure to 10=more disclosure),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_bus_ease_xq,Ease of doing business index (1=most business-friendly regulations),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_bus_ndns_zs,"New business density (new registrations per 1,000 people ages 15-64)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_bus_nreg,New businesses registered (number),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_cus_durs_ex,Average time to clear exports through customs (days),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_elc_outg,Power outages in firms in a typical month (number),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_exp_csbc_cd,"Cost to export, border compliance (US$)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_exp_csdc_cd,"Cost to export, documentary compliance (US$)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_exp_tmbc,"Time to export, border compliance (hours)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_exp_tmdc,"Time to export, documentary compliance (hours)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_frm_bkwc_zs,Firms using banks to finance working capital (% of firms),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_frm_brib_zs,Bribery incidence (% of firms experiencing at least one bribe payment request),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_frm_cmpu_zs,Firms competing against unregistered firms (% of firms),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_frm_corr_zs,Informal payments to public officials (% of firms),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_frm_crim_zs,Losses due to theft and vandalism (% of annual sales of affected firms),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_frm_durs,Time required to obtain an operating license (days),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_frm_femm_zs,Firms with female top manager (% of firms),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_frm_femo_zs,Firms with female participation in ownership (% of firms),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_frm_freg_zs,Firms formally registered when operations started (% of firms),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_frm_infm_zs,Firms that do not report all sales for tax purposes (% of firms),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_frm_trng_zs,Firms offering formal training (% of firms),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_gov_durs_zs,Time spent dealing with the requirements of government regulations (% of senior,World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_imp_csbc_cd,"Cost to import, border compliance (US$)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_imp_csdc_cd,"Cost to import, documentary compliance (US$)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_imp_tmbc,"Time to import, border compliance (hours)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_imp_tmdc,"Time to import, documentary compliance (hours)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_isv_durs,Time to resolve insolvency (years),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_lgl_durs,Time required to enforce a contract (days),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_prp_durs,Time required to register property (days),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_prp_proc,Procedures to register property (number),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_reg_cost_pc_fe_zs,"Cost of business start-up procedures, female (% of GNI per capita)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_reg_cost_pc_ma_zs,"Cost of business start-up procedures, male (% of GNI per capita)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_reg_cost_pc_zs,Cost of business start-up procedures (% of GNI per capita),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_reg_durs,Time required to start a business (days),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_reg_durs_fe,"Time required to start a business, female (days)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_reg_durs_ma,"Time required to start a business, male (days)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_reg_proc,Start-up procedures to register a business (number),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_reg_proc_fe,"Start-up procedures to register a business, female (number)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_reg_proc_ma,"Start-up procedures to register a business, male (number)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_tax_durs,Time to prepare and pay taxes (hours),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_tax_gift_zs,Firms expected to give gifts in meetings with tax officials (% of firms),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_tax_labr_cp_zs,Labor tax and contributions (% of commercial profits),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_tax_metg,Average number of visits or required meetings with tax officials (for affected f,World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_tax_othr_cp_zs,Other taxes payable by businesses (% of commercial profits),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_tax_paym,Tax payments (number),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_tax_prft_cp_zs,Profit tax (% of commercial profits),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_tax_totl_cp_zs,Total tax and contribution rate (% of profit),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_wrh_durs,Time required to build a warehouse (days),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_ic_wrh_proc,Procedures to build a warehouse (number),World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_iq_wef_cust_xq,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficie",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_lp_exp_durs_md,"Lead time to export, median case (days)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_lp_imp_durs_md,"Lead time to import, median case (days)",World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_lp_lpi_cust_xq,Logistics performance index,World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_lp_lpi_infr_xq,Logistics performance index,World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_lp_lpi_itrn_xq,Logistics performance index,World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_lp_lpi_logs_xq,Logistics performance index,World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_lp_lpi_ovrl_xq,Logistics performance index,World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_lp_lpi_time_xq,Logistics performance index,World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_lp_lpi_trac_xq,Logistics performance index,World Development Indicators,The World Bank Group,2018,Competitiveness and Ease of Business
WB_st_int_arvl,"International tourism, number of arrivals",World Development Indicators,The World Bank Group,2018,Trade
WB_st_int_dprt,"International tourism, number of departures",World Development Indicators,The World Bank Group,2018,Trade
WB_st_int_rcpt_cd,"International tourism, receipts (current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_st_int_rcpt_xp_zs,"International tourism, receipts (% of total exports)",World Development Indicators,The World Bank Group,2018,Trade
WB_st_int_trnr_cd,"International tourism, receipts for passenger transport items (current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_st_int_trnx_cd,"International tourism, expenditures for passenger transport items (current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_st_int_tvlr_cd,"International tourism, receipts for travel items (current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_st_int_tvlx_cd,"International tourism, expenditures for travel items (current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_st_int_xpnd_cd,"International tourism, expenditures (current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_st_int_xpnd_mp_zs,"International tourism, expenditures (% of total imports)",World Development Indicators,The World Bank Group,2018,Trade
WB_tg_val_totl_gd_zs,Merchandise trade (% of GDP),World Development Indicators,The World Bank Group,2018,Trade
WB_tm_qty_mrch_xd_wd,Import volume index (2000 = 100),World Development Indicators,The World Bank Group,2018,Trade
WB_tm_tax_manf_bc_zs,"Binding coverage, manufactured products (%)",World Development Indicators,The World Bank Group,2018,Trade
WB_tm_tax_manf_br_zs,"Bound rate, simple mean, manufactured products (%)",World Development Indicators,The World Bank Group,2018,Trade
WB_tm_tax_manf_ip_zs,"Share of tariff lines with international peaks, manufactured products (%)",World Development Indicators,The World Bank Group,2018,Trade
WB_tm_tax_manf_sm_ar_zs,"Tariff rate, applied, simple mean, manufactured products (%)",World Development Indicators,The World Bank Group,2018,Trade
WB_tm_tax_manf_sm_fn_zs,"Tariff rate, most favored nation, simple mean, manufactured products (%)",World Development Indicators,The World Bank Group,2018,Trade
WB_tm_tax_manf_sr_zs,"Share of tariff lines with specific rates, manufactured products (%)",World Development Indicators,The World Bank Group,2018,Trade
WB_tm_tax_manf_wm_ar_zs,"Tariff rate, applied, weighted mean, manufactured products (%)",World Development Indicators,The World Bank Group,2018,Trade
WB_tm_tax_manf_wm_fn_zs,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",World Development Indicators,The World Bank Group,2018,Trade
WB_tm_tax_mrch_bc_zs,"Binding coverage, all products (%)",World Development Indicators,The World Bank Group,2018,Trade
WB_tm_tax_mrch_br_zs,"Bound rate, simple mean, all products (%)",World Development Indicators,The World Bank Group,2018,Trade
WB_tm_tax_mrch_ip_zs,"Share of tariff lines with international peaks, all products (%)",World Development Indicators,The World Bank Group,2018,Trade
